naive,ar,arma,arima,ets,Average,CrossValidation,GA,NaiveBaggingRegression,ArBaggingRegression,ArmaBaggingRegression,ArimaBaggingRegression,EtsBaggingRegression,NaiveGBM,ArGBM,ArmaGBM,ArimaGBM,EtsGBM,esn
32.1027287319,39.8073836276,30.4975922953,12.1990369181,25.6821829856,28.0898876404,32.1027287319,28.5714285714,32.1027287319,43.0176565008,39.165329053,31.7817014446,28.2504012841,31.621187801,84.1091492777,49.4382022472,-17.9775280899,17.3354735152,22.632423756
-9.05109489051,2.1897810219,3.50364963504,3.21167883212,-5.83941605839,-1.16788321168,-9.05109489051,-5.25547445255,-9.05109489051,6.56934306569,7.29927007299,3.94160583942,-0.583941605839,-24.0875912409,0.729927007299,-8.61313868613,12.9927007299,-29.0510948905,-3.6496350365
-17.4698795181,-9.15662650602,-11.5662650602,-15.3012048193,-18.0722891566,-14.3373493976,-17.4698795181,-16.7469879518,-17.4698795181,-6.02409638554,-6.98795180723,-12.4096385542,-14.8192771084,-33.4939759036,-16.0240963855,-13.6144578313,-6.74698795181,-32.0481927711,-17.2289156627
25.3776435045,32.6283987915,27.0392749245,10.5740181269,22.3564954683,23.5649546828,25.3776435045,21.752265861,25.3776435045,35.3474320242,33.2326283988,27.3413897281,19.9395770393,23.8670694864,73.2628398792,40.6344410876,-7.55287009063,10.4229607251,21.752265861
-4.74820143885,5.46762589928,6.90647482014,2.58992805755,-1.87050359712,1.72661870504,-4.74820143885,-2.15827338129,-4.74820143885,9.64028776978,10.071942446,4.02877697842,0.575539568345,-17.6978417266,11.2230215827,-3.02158273381,11.3669064748,-18.8489208633,0.143884892086
-9.74025974026,-1.16883116883,-2.98701298701,-3.24675324675,-10.0,-5.45454545455,-9.74025974026,-7.92207792208,-9.74025974026,2.33766233766,1.55844155844,-7.53246753247,-7.66233766234,-37.7922077922,-9.48051948052,-12.4675324675,-20.5194805195,-26.7532467532,-8.18181818182
21.6429699842,30.6477093207,26.6982622433,10.5845181675,20.0631911532,21.9589257504,21.6429699842,18.9573459716,21.6429699842,33.9652448657,32.5434439179,23.5387045814,19.747235387,-1.10584518167,26.0663507109,30.6477093207,-19.2733017378,37.2827804107,20.2211690363
-6.63716814159,4.57227138643,5.45722713864,-4.57227138643,-4.12979351032,-1.03244837758,-6.63716814159,-5.30973451327,-6.63716814159,8.99705014749,9.29203539823,-1.03244837758,-0.737463126844,-10.0294985251,1.76991150442,-4.27728613569,-6.78466076696,-28.3185840708,-1.91740412979
-11.3725490196,-2.09150326797,-4.57516339869,-4.57516339869,-11.8954248366,-6.92810457516,-11.3725490196,-9.15032679739,-11.3725490196,1.30718954248,0.261437908497,-10.5882352941,-9.01960784314,-27.8431372549,-8.88888888889,-6.27450980392,-20.0,-26.2745098039,-9.41176470588
33.5078534031,43.630017452,38.7434554974,25.1308900524,31.4136125654,34.554973822,33.5078534031,29.4938917976,33.5078534031,47.294938918,45.3752181501,32.4607329843,31.2390924956,9.24956369983,39.2670157068,27.7486910995,35.0785340314,51.6579406632,32.1116928447
18.1443298969,35.6701030928,38.3505154639,33.1958762887,23.2989690722,29.6907216495,18.1443298969,25.1546391753,18.1443298969,42.4742268041,43.2989690722,27.6288659794,29.6907216495,43.2989690722,10.3092783505,8.24742268041,17.1134020619,2.0618556701,28.6597938144
-36.8489583333,-24.0885416667,-23.9583333333,-27.0833333333,-34.8958333333,-29.4270833333,-36.8489583333,-33.203125,-36.8489583333,-19.140625,-19.4010416667,-33.3333333333,-26.3020833333,-36.1979166667,-34.2447916667,-36.0677083333,-37.2395833333,-42.96875,-30.3385416667
29.0756302521,38.487394958,29.243697479,16.1344537815,23.025210084,27.2268907563,29.0756302521,22.8571428571,29.0756302521,42.3529411765,38.6554621849,24.0336134454,22.1848739496,5.21008403361,34.1176470588,5.3781512605,-14.1176470588,46.0504201681,24.2016806723
-0.833333333333,12.8333333333,13.6666666667,-2.0,2.33333333333,5.16666666667,-0.833333333333,-0.833333333333,-0.833333333333,18.1666666667,18.5,5.33333333333,5.5,-9.66666666667,0.833333333333,-12.5,-13.6666666667,3.66666666667,6.33333333333
-10.0449775112,2.09895052474,0.149925037481,-2.84857571214,-9.74512743628,-4.04797601199,-10.0449775112,-6.74662668666,-10.0449775112,6.89655172414,5.99700149925,-8.09595202399,-6.59670164918,-18.7406296852,-6.14692653673,-0.599700149925,-5.24737631184,-25.7871064468,-5.39730134933
25.6120527307,38.9830508475,34.4632768362,23.9171374765,23.9171374765,29.3785310734,25.6120527307,24.8587570621,25.6120527307,44.2561205273,42.3728813559,25.6120527307,25.6120527307,7.72128060264,31.2617702448,22.2222222222,26.3653483992,-8.47457627119,28.2485875706
-4.32432432432,12.0720720721,12.7927927928,-7.02702702703,-1.26126126126,2.52252252252,-4.32432432432,-4.68468468468,-4.32432432432,18.3783783784,18.5585585586,3.6036036036,3.96396396396,-10.990990991,3.78378378378,10.990990991,-16.7567567568,-11.7117117117,4.32432432432
3.35195530726,19.739292365,16.573556797,7.2625698324,3.16573556797,10.0558659218,3.35195530726,5.21415270019,3.35195530726,25.8845437616,24.5810055866,5.21415270019,9.12476722533,-7.2625698324,-5.40037243948,14.7113594041,-2.23463687151,2.04841713222,9.8696461825
-25.7261410788,-13.2780082988,-15.214384509,-22.1300138313,-25.4495159059,-20.3319502075,-25.7261410788,-24.0663900415,-25.7261410788,-8.57538035961,-9.40525587828,-22.8215767635,-21.9917012448,-32.918395574,-20.3319502075,-31.673582296,-33.3333333333,-45.643153527,-20.6085753804
43.1683168317,55.6435643564,47.1287128713,26.5346534653,38.2178217822,42.1782178218,43.1683168317,36.4356435644,43.1683168317,60.396039604,57.0297029703,39.4059405941,35.4455445545,44.1584158416,54.8514851485,33.4653465347,12.4752475248,15.8415841584,41.5841584158
-10.3019538188,6.57193605684,8.8809946714,-0.355239786856,-5.6838365897,-0.177619893428,-10.3019538188,-5.32859680284,-10.3019538188,12.9662522202,13.8543516874,-1.59857904085,-1.95381882771,-13.4991119005,3.37477797513,-12.2557726465,-14.3872113677,-7.10479573712,1.59857904085
9.32038834951,26.213592233,22.1359223301,14.7572815534,8.54368932039,16.1165048544,9.32038834951,11.6504854369,9.32038834951,32.427184466,30.6796116505,11.8446601942,12.0388349515,-3.30097087379,3.88349514563,24.4660194175,6.99029126214,-4.46601941748,15.145631068
12.6914660832,33.2603938731,30.8533916849,7.00218818381,14.0043763676,19.4748358862,12.6914660832,10.9409190372,12.6914660832,40.7002188184,39.8249452954,18.3807439825,19.0371991247,-4.37636761488,6.34573304158,3.28227571116,-0.875273522976,5.4704595186,21.8818380744
-11.2621359223,8.73786407767,6.99029126214,-10.8737864078,-9.5145631068,-3.1067961165,-11.2621359223,-10.4854368932,-11.2621359223,15.9223300971,14.9514563107,-5.2427184466,-3.49514563107,-2.33009708738,-6.60194174757,-4.46601941748,-17.0873786408,-11.8446601942,-1.35922330097
-12.7118644068,3.22033898305,-1.18644067797,-8.47457627119,-13.8983050847,-6.61016949153,-12.7118644068,-10.8474576271,-12.7118644068,8.98305084746,7.1186440678,-8.30508474576,-10.5084745763,-25.9322033898,-17.6271186441,-16.7796610169,-22.7118644068,-26.6101694915,-6.4406779661
6.88405797101,21.9202898551,16.4855072464,0.54347826087,4.89130434783,10.1449275362,6.88405797101,4.34782608696,6.88405797101,27.3550724638,25.1811594203,8.8768115942,4.16666666667,8.8768115942,9.60144927536,5.25362318841,-8.69565217391,-0.18115942029,10.3260869565
-0.897666068223,15.0807899461,12.5673249551,-3.41113105925,-0.179533213645,4.66786355476,-0.897666068223,-1.97486535009,-0.897666068223,20.6463195691,19.5691202873,4.30879712747,-0.359066427289,-10.592459605,-1.43626570916,15.0807899461,-18.1328545781,-11.6696588869,6.4631956912
10.5158730159,27.9761904762,24.6031746032,16.8650793651,10.5158730159,18.0555555556,10.5158730159,13.4920634921,10.5158730159,34.126984127,32.7380952381,14.2857142857,11.7063492063,-1.19047619048,0.793650793651,27.1825396825,2.77777777778,-2.38095238095,18.0555555556
14.5454545455,36.3636363636,34.0909090909,17.5,16.3636363636,23.8636363636,14.5454545455,16.3636363636,14.5454545455,44.0909090909,42.9545454545,21.5909090909,19.5454545455,4.54545454545,32.2727272727,7.27272727273,6.59090909091,17.9545454545,25.9090909091
-29.4871794872,-12.5,-13.9423076923,-31.5705128205,-27.8846153846,-23.0769230769,-29.4871794872,-29.6474358974,-29.4871794872,-6.73076923077,-7.37179487179,-24.1987179487,-22.9166666667,-33.3333333333,-25.1602564103,-25.641025641,-38.9423076923,-35.7371794872,-20.8333333333
10.0529100529,23.8095238095,16.049382716,4.7619047619,5.82010582011,12.1693121693,10.0529100529,7.76014109347,10.0529100529,28.5714285714,25.3968253968,6.87830687831,4.58553791887,-8.28924162257,21.6931216931,21.3403880071,-2.82186948854,-12.6984126984,11.2874779541
